food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Hot tea (Garam Chai),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Hot tea (Garam Chai) is suitable for a general diet and supports energetic & calm.
Instant coffee,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Instant coffee is suitable for a general diet and supports energetic & calm.
Espreso coffee,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Espreso coffee is suitable for a general diet and supports energetic & calm.
Iced tea,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Iced tea is suitable for a general diet and supports energetic & calm.
Raw mango drink (Aam panna),Raw Food,"Energetic & Calm, Depressed Mood",None,Snack,"Raw mango drink (Aam panna) is suitable for a general diet and supports energetic & calm, depressed mood."
Fruit Punch (with fresh juices),"Mediterranean, Vegan",Depressed Mood,None,Dinner,Fruit Punch (with fresh juices) is suitable for a vegan diet and supports depressed mood.
Fruit Punch (with squashes),Vegan,Depressed Mood,None,Dinner,Fruit Punch (with squashes) is suitable for a vegan diet and supports depressed mood.
Lemonade,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Lemonade is suitable for a general diet and supports energetic & calm.
Lem-o-gin,"Vegan, Vegetarian",Stressed,None,Dinner,Lem-o-gin is suitable for a general diet and supports neutral mood.
Cumin infused water (Jeere/Zeere ka pani),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Cumin infused water (Jeere/Zeere ka pani) is suitable for a general diet and supports neutral mood.
Coco pine cooler,"Vegan, Vegetarian",Depressed Mood,None,Snack,Coco pine cooler is suitable for a general diet and supports neutral mood.
Summer cooler,"Vegan, Vegetarian",Happy,None,Breakfast,Summer cooler is suitable for a general diet and supports neutral mood.
Hot cocoa,"Vegan, Vegetarian",Craving,None,Snack,Hot cocoa is suitable for a general diet and supports neutral mood.
Cold coffee with ice cream,"Keto, Vegan, Vegetarian","Happy, Energetic & Calm",None,"Breakfast, Snack","Cold coffee with ice cream is suitable for a general diet and supports happy, energetic & calm."
Banana milkshake (Kele milkshake),Vegetarian,Tired & Anxious,Lactose / Dairy,Breakfast,Banana milkshake (Kele milkshake) is suitable for a vegetarian diet and supports tired & anxious.
Mango milkshake (Aam milkshake),Vegetarian,"Tired & Anxious, Depressed Mood",Lactose / Dairy,Lunch,"Mango milkshake (Aam milkshake) is suitable for a vegetarian diet and supports tired & anxious, depressed mood."
